,filename,oldname
0,class_000.jpg,DMZ 240km.jpg
1,class_001.jpg,감 보드카.jpg
2,class_002.jpg,감아락 25도.jpg
3,class_003.jpg,감이슬.jpg
4,class_004.jpg,감홍로 백자.jpg
5,class_005.jpg,감홍로 청자.jpg
6,class_006.jpg,강소주.jpg
7,class_007.jpg,겨울소주 25.jpg
8,class_008.jpg,계룡백일주 12년.jpg
9,class_009.jpg,계룡백일주 30도.jpg
10,class_010.jpg,계룡백일주 40도.jpg
11,class_011.jpg,계룡산 산삼주 금수강산 21%.jpg
12,class_012.jpg,계룡산 산삼주 금수강산 40%.jpg
13,class_013.jpg,고구마 아락.jpg
14,class_014.jpg,고운달 백자.jpg
15,class_015.jpg,고운달 오크.jpg
16,class_016.jpg,귀감.jpg
17,class_017.jpg,금산인삼주 수삼단본 720ml 23도 .jpg
18,class_018.jpg,금산인삼주 수삼단본 720ml 43도 .jpg
19,class_019.jpg,김천 과하주 23도.jpg
20,class_020.jpg,녹고의 눈물.jpg
21,class_021.jpg,녹천 소곡화주 480ml.jpg
22,class_022.jpg,녹천 소곡화주 500ml.jpg
23,class_023.jpg,느낌 19.8.jpg
24,class_024.jpg,느낌 30.jpg
25,class_025.jpg,담양 죽력고.jpg
26,class_026.jpg,독산 53.jpg
27,class_027.jpg,동강더덕주.jpg
28,class_028.jpg,두레앙 22.jpg
29,class_029.jpg,두레앙 증류주.jpg
30,class_030.jpg,두리향.jpg
31,class_031.jpg,려(驪)고구마증류소주 25도.jpg
32,class_032.jpg,려(驪)고구마증류소주 40도.jpg
33,class_033.jpg,려(驪)증류소주 25도.jpg
34,class_034.jpg,로얄 안동소주 18년.jpg
35,class_035.jpg,르깔롱.jpg
36,class_036.jpg,마주 소곡화주.jpg
37,class_037.jpg,막시모40.jpg
38,class_038.jpg,매실원주 15도.jpg
39,class_039.jpg,메밀로.jpg
40,class_040.jpg,명술 375ml.jpg
41,class_041.jpg,명인 안동소주 22도.jpg
42,class_042.jpg,명인 안동소주 양반탈.jpg
43,class_043.jpg,명인 안동소주 호리병.jpg
44,class_044.jpg,명품 진도홍주.jpg
45,class_045.jpg,모월 로.jpg
46,class_046.jpg,모월 인.jpg
47,class_047.jpg,모을동주 소주.jpg
48,class_048.jpg,문경바람 백자 25%.jpg
49,class_049.jpg,문경바람 백자 40%.jpg
50,class_050.jpg,문경바람 오크.jpg
51,class_051.jpg,문배술 헤리티지 25도.jpg
52,class_052.jpg,민속주 안동소주 400ml.jpg
53,class_053.jpg,민속주 안동소주 600ml.jpg
54,class_054.jpg,민속주 안동소주 800ml.jpg
55,class_055.jpg,배도가 로아 40도 옐로우.jpg
56,class_056.jpg,병영설성사또.jpg
57,class_057.jpg,복분자 아락.jpg
58,class_058.jpg,불소곡주.jpg
59,class_059.jpg,샤토미소 영동.jpg
60,class_060.jpg,서울의 밤.jpg
61,class_061.jpg,설궁.jpg
62,class_062.jpg,설레온.jpg
63,class_063.jpg,세우리.jpg
64,class_064.jpg,송화백일주.jpg
65,class_065.jpg,신례명주.jpg
66,class_066.jpg,안동소주 일품 17도.jpg
67,class_067.jpg,안동소주 일품 21도.jpg
68,class_068.jpg,안동소주 일품 40도 골드.jpg
69,class_069.jpg,어우야.jpg
70,class_070.jpg,여강.jpg
71,class_071.jpg,연천 우주.jpg
72,class_072.jpg,예담은 한산소곡화주.jpg
73,class_073.jpg,예천주 사월24.jpg
74,class_074.jpg,예천주 사월365.jpg
75,class_075.jpg,예천주복 만월24.jpg
76,class_076.jpg,예천주복 만월40.jpg
77,class_077.jpg,오매락퍽.jpg
78,class_078.jpg,왕율주.jpg
79,class_079.jpg,원매 프리미엄.jpg
80,class_080.jpg,원매.jpg
81,class_081.jpg,원조 소곡화주.jpg
82,class_082.jpg,자연송이주.jpg
83,class_083.jpg,제주 고소리술.jpg
84,class_084.jpg,죽력고.jpg
85,class_085.jpg,진도홍주 루비콘.jpg
86,class_086.jpg,진맥소주 22%.jpg
87,class_087.jpg,진맥소주 40%.jpg
88,class_088.jpg,진맥소주 53%.jpg
89,class_089.jpg,진쾌남.jpg
90,class_090.jpg,천년주.jpg
91,class_091.jpg,천마몽.jpg
92,class_092.jpg,천매.jpg
93,class_093.jpg,천비향 화주.jpg
94,class_094.jpg,추사40.jpg
95,class_095.jpg,충주 백주.jpg
96,class_096.jpg,톡 한잔 골드.jpg
97,class_097.jpg,톡 한잔 소주.jpg
98,class_098.jpg,티나(TINA).jpg
99,class_099.jpg,풍정사계 동(冬).jpg
100,class_100.jpg,필 FEEL.jpg
101,class_101.jpg,하향주 증류주.jpg
102,class_102.jpg,한비 동충하초술.jpg
103,class_103.jpg,한비 무병장수술.jpg
104,class_104.jpg,한비 쌀소주.jpg
105,class_105.jpg,한비 오가피술.jpg
106,class_106.jpg,한시울.jpg
107,class_107.jpg,한주.jpg
108,class_108.jpg,해방주 18.8%.jpg
109,class_109.jpg,해방주 38%.jpg
110,class_110.jpg,호담 300ml.jpg
111,class_111.jpg,홍로.jpg
112,class_112.jpg,화주.jpg
113,class_113.jpg,황금보리소주17.jpg
114,class_114.jpg,황금보리소주25.jpg
115,class_115.jpg,황금보리소주40.jpg
116,class_116.jpg,황칠주.jpg
117,class_117.jpg,흑돈주.jpg
